Export_country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Cluster
Austria,0.0,3.5545061486773387e-06,0.0,0.0,0.0,0.0,1.162583274687507e-07,0.0,9.380923197136056e-09,0.0019328991550603,0.0065513100998017,0.017071469470907,0.0259922044691486,0.0352224407533362,0.0817019805978211,0.0958946792680154,0.1046260579033789,0.1512663452177762,0.1567703316188386,0.1065097286967127,0.0432022873112062,0.0370546614692746,0.0390596189773509,0.0433636784216005,0.0175521498424832,0.0144840388118628,0.0076690411863173,0.0073245575452673,0.0067468390384404,0
Belgium,2.82542615089997e-06,0.0003405286639642,0.0002508072674645,7.794413892277075e-05,0.0010164416020153,0.0008195873022984,0.001788141972818,0.0032205910961732,0.0038490514734771,0.007975097743712,0.0092417935391755,0.0175379764867421,0.0300303998721012,0.0393955985254549,0.0721942475326175,0.0940391392409309,0.1208371449173073,0.1434719910958987,0.1158402908149083,0.1163791928107219,0.063894474246716,0.039149526995496,0.0428545564668838,0.0210935371929584,0.0243570525820067,0.0145262985909888,0.0078508187179789,0.0037574778080327,0.0042074658760827,0
Brazil,0.0120939212679926,0.0114902098463819,0.0218923725980829,0.0566606656706205,0.0503056979620149,0.0594092898092834,0.0710180035643206,0.1023438794577739,0.0953097915841226,0.1531172978360655,0.0768118391555889,0.0788835923890852,0.0399865262729479,0.0493255924638815,0.0350891015233338,0.0255931075988983,0.0174712186638138,0.0192758248126862,0.0087498546288722,0.004131765084839,0.0017877212844332,0.0014714808363496,0.001200754519312,0.0013133560003575,0.0011739692620091,0.0015717326503223,0.0012538867916186,0.0008323569010719,0.000435189563919,1
Canada,0.0011023366821769,5.029895694634773e-08,0.0020210544524347,0.0001626952891149,0.0018836540146939,0.0032830123084434,0.0048811195175783,0.0075719893795723,0.0086570234847893,0.0070167791156023,0.0081695031675224,0.0534791036505009,0.043274677471432,0.06321531375781,0.0903395992153582,0.3410513746586364,0.3182513550568838,0.0146995009933555,0.0037624568197795,0.0043106728619633,0.0053900605499865,0.0033742898834433,0.003393518227201,0.0033066252887534,0.0028308775527831,0.0019381332715553,0.0015568466211037,0.0006096775479924,0.000466698860575,0
China (mainland),2.877947003889798e-06,0.0006197791635999,0.0051969085590381,0.0052960784905498,0.0167128519606062,0.0244636842323606,0.043464445015125,0.0251984050444758,0.0465383718551222,0.0484184323989489,0.0657415095886696,0.0780965278255426,0.0894487804718641,0.0788675424335359,0.0783044717277224,0.0645317806267221,0.058004077962072,0.049232800971042,0.0403407065493639,0.0332541387574523,0.0357664519787702,0.0289886227285487,0.022471639120711,0.0239417874431222,0.014279418920518,0.0101592135455444,0.0065042949956326,0.00350183872651,0.0026525609598243,2
France,7.481210012977122e-05,2.282031607720762e-05,0.0001351709034318,0.0001325669188167,0.0005906989269267,0.0032245735266574,0.0011556715425701,0.0154858643550805,0.033395191488878,0.0549547479504713,0.0670548237734253,0.07576057301472,0.1005395575305752,0.0918575154940959,0.083089667198799,0.0748116838761942,0.092191956752225,0.0559131985474574,0.0637668285631292,0.0430636909037022,0.0304506376170467,0.0294637219615789,0.0234454977635116,0.0170875937403463,0.0163316820248878,0.0111623221297139,0.0074480126540614,0.0042007677830838,0.0031881506424055,2
Germany,2.689248625042938e-05,4.513852776043033e-06,1.4580947198523223e-06,3.686405203266788e-05,0.0002337753226785,0.0003382620808886,0.0007841538158996,0.0013686157548285,0.0046320217987958,0.013464160195749,0.0143196736463962,0.0193639480001967,0.0395089205942619,0.0717020624471945,0.0865364631473673,0.0953521263588895,0.1029175362952828,0.0969234751311509,0.1105771759887536,0.0766322284544553,0.0805924002740522,0.0607555958593222,0.0383789452192331,0.0257615645532942,0.0222150456754026,0.0191633544619582,0.0110326049861067,0.0046914561235648,0.0026847053284968,0
India,5.2812837111284894e-05,0.0034311203986977,0.0069329445619626,0.0113129482863287,0.0180547865569491,0.0513650054981636,0.0646382537652714,0.0460762419714321,0.0711158879506698,0.0809442268985525,0.0824244500582954,0.0708515419019782,0.0737271268989748,0.0677361942516604,0.0474591991031451,0.0499187878440329,0.0460750483580644,0.0478301992259272,0.0402335861617737,0.0396605399213176,0.0228083436486363,0.0164208301187592,0.0131223415346994,0.0082902518098294,0.0071503239599113,0.005495436497761,0.0024354541394087,0.0028195787193643,0.0016165371213207,2
Indonesia,0.0005593740107228,0.0070114223128055,0.0081062180646631,0.0077198656661891,0.0141773670332878,0.0149693231929639,0.0150926471802682,0.0167262832552418,0.010742513719896,0.0343896883113782,0.0425300970359498,0.021033045966893,0.0240059026578557,0.0269351429795206,0.0368901104208457,0.0373220147057596,0.0096666879698851,0.0352325198742507,0.0415348958067426,0.0368479604869726,0.0138227195521657,0.0419396590768662,0.0656549701245278,0.1146127002887612,0.0743577204470026,0.0712629037784942,0.0682960043468435,0.0585982492362872,0.0499619924969584,3
Iran,0.0090237640101,0.0344171175176051,0.0685511351153599,0.0424512609674442,0.0669786229608597,0.0830778001499901,0.0898027712738946,0.1755759586608543,0.1063422119283098,0.0941366185821905,0.0649959423877052,0.0626661280402252,0.0355108724901833,0.0277947859725314,0.0237227992655607,0.0058142147766269,0.0009529111155424,0.0014126799214028,0.0017137792604567,0.0013789576585129,0.0012297080574693,0.0008100047159346,0.0003149471121242,0.0003641935450077,0.0001748929263718,0.0002587332760354,9.29394764471344e-05,0.000111272184052,0.0003229766512009,1
Italy,0.0,0.0,0.0001376234301289,5.353946680316578e-06,1.92167464883504e-05,0.0001660834490536,0.0030808553859477,0.0042032705557906,0.0060032620459235,0.0098968862646937,0.0060680371064511,0.0098710641057661,0.0177269111367434,0.0335538507799843,0.0655441321781878,0.0730880791093879,0.0882146831076824,0.1373189291131289,0.1126819083267383,0.081630605875622,0.0773687076705388,0.0471151352622989,0.0518516889870293,0.0560375813998179,0.0432717873283247,0.03984418173875,0.0160603304786202,0.0117892364412855,0.0074505980289345,0
Japan,1.900914687142019e-06,8.920634483410642e-05,0.0002169534465987,0.0012236470401879,0.0045297346349966,0.0079256943505138,0.008050450376891,0.0297328536770362,0.0349744055437745,0.0547131879393502,0.0720446084331102,0.064207312281511,0.0916879085010586,0.1219643761812822,0.1195484120693417,0.1007531958501164,0.1020330283406852,0.074783337130457,0.032070521454697,0.0295544045829491,0.0142253086291106,0.0096449565831057,0.0091133553476179,0.0040939123117853,0.0029482940632979,0.0032020999276652,0.0025927478730113,0.0021539302096375,0.0019202559606889,2
Malaysia,0.0078126422621397,0.0153166392852441,0.0056034023248862,0.0112361375277767,0.0123678071526042,0.0763330560445765,0.0471985432431247,0.0899103584721491,0.0485650185138498,0.0598620262489938,0.0564490223218247,0.0601477618191966,0.0864203331451972,0.0682803440978015,0.0330344603416824,0.0360033209970272,0.0376281666408753,0.0478609312107162,0.0436943329316518,0.041345619123901,0.0338681375574974,0.028257335316476,0.0178870832448444,0.0084916464416345,0.0075235256174448,0.0052765640360232,0.0054914722692278,0.0049610112302977,0.0031733005813343,2
Mexico,1.3089056387228613e-05,7.5924102845338814e-06,0.0001021234319979,0.0014821858016514,2.49167214733088e-05,0.0052269464016622,0.0087234722424282,0.0197771945631216,0.0086753807529719,0.0495168519497496,0.0705615879977606,0.1720801172766201,0.1597863181876877,0.0872154113164328,0.090273742657934,0.0970832319452989,0.1103703560193465,0.040756718162642,0.0406538567660275,0.0171885247151934,0.0033318978306271,0.0095190268363903,0.0028044526343826,0.0010384561343868,0.0008749642867544,0.0009243341170724,0.0009831678976355,0.0006041260667522,0.0003999558193263,2
Netherlands,4.212946703193083e-05,0.0021904503728434,0.0002806101592006,0.001007179615517,0.0014342903743692,0.0008640886702409,0.0005952136496336,0.0034515842834671,0.0067465753157961,0.0192262874366351,0.0177683052780383,0.0542156793659791,0.065096903439,0.0729537147282495,0.1463639540985075,0.1298119283159105,0.1288890569785699,0.0741043053248748,0.0666834018019483,0.0559862151561425,0.049957285370419,0.0301549614157225,0.0165992854494433,0.0144912804938,0.0150951746419062,0.012392606616128,0.0067968448623805,0.0038574641151061,0.0029432232031374,0
Russia,0.0204210368793934,0.0207263786882381,0.0329971152737329,0.055321499606867,0.0540208695707722,0.0725241427523498,0.091684766167934,0.1157314796167371,0.124615461372897,0.1315897546931035,0.0921052445739854,0.0567521634628593,0.0304067948080521,0.0282798232082851,0.0299011065834956,0.0161929696445482,0.011359505351535,0.002666951163524,0.0033747784535036,0.0026566311768723,0.0017675442699676,0.0014012423544293,0.0013234957065279,0.0006250577875165,0.00045194305469,0.0003482490657744,0.000281913039092,0.0001754966352759,0.0002965850380395,1
Slovakia,0.0,0.0,0.0001028186338606,0.0003231158043968,0.0005013727021515,0.0001938583008975,0.0162278177565846,0.0292594733130103,0.0088288136090073,0.0327388789675454,0.0244670095898383,0.0239943108588219,0.0430798383621015,0.0524287019023344,0.0900357256983813,0.1136420458013695,0.1633682410960546,0.1310257645671609,0.0691979402832927,0.0577915819437442,0.0545266775721289,0.0410518593098931,0.0282675330365363,0.0131329293369902,0.0035129176581761,0.0017570392106386,0.0003621543980487,0.0001556820043046,2.5898282729294774e-05,0
South Africa,0.0090993372475289,0.0114019313064523,0.0116018246376003,0.0108142712121879,0.018475747271999,0.0198611644222237,0.0241561467721256,0.0368388784078191,0.0425980733021336,0.0439687888600394,0.051274890272374,0.0645244738359577,0.0741352820354113,0.0691430457699458,0.060991487127547,0.0703636647448302,0.0642961109240624,0.0594244963929122,0.057393343679157,0.0456395536919118,0.0394148782640947,0.026330457996794,0.0208416324855339,0.0169882549609424,0.0148135238954137,0.0111438844412727,0.0118065016388738,0.0085005911534858,0.0041577632493683,2
South Korea,3.843522825478028e-07,4.514125903269121e-05,5.739828333624233e-07,6.423362129305413e-05,0.0001235896918702,0.0021722423618041,0.0011761336988523,0.0027925615741169,0.006663788418182,0.0238529873838087,0.0368434741070589,0.0487898412056948,0.0756986931180548,0.1477025257173098,0.1403210880264183,0.1350501470559885,0.0984639857313482,0.0767011973300738,0.0659695947261804,0.0528280913590215,0.0299667201324725,0.016197935575872,0.0131234506300984,0.009808890750795,0.0055992510122252,0.0052367745579196,0.0023359110157185,0.0014954734407002,0.0009753181629727,0
Spain,0.0001696862378314,2.4441760410450063e-05,0.0003564135349435,0.0013527511843931,0.000972278948478,0.000814336314043,0.0032240671160024,0.0080278795723762,0.0124175591915102,0.0076950751422754,0.018691003092521,0.0259311782032839,0.0280123077406436,0.0437675769111203,0.0550139158959137,0.0477889534695628,0.0607789378130505,0.093415398613501,0.0917387455104745,0.0832973767998165,0.0631254746139281,0.0476735487722983,0.0551201935678452,0.0774859142952798,0.0475386524910537,0.0445971112237721,0.0373281441005377,0.0232038447880532,0.0204372330950789,3
Sweden,0.0,0.0,1.0390645288871649e-05,0.0068861238204681,3.1352034558807775e-05,0.0018944650627065,5.897004567812484e-05,1.377966363461882e-05,0.002578851105947,0.0064710688957059,0.0139790232880461,0.0148099123161826,0.0047846972444731,0.0087223365038329,0.0058083776737867,0.0119523531839415,0.0200641849283115,0.0241335637970103,0.0416745147747715,0.0482870610691412,0.0509785219625426,0.0856927131107424,0.0802205816479352,0.1336114881489847,0.1259244703794613,0.1099226404621451,0.0788365750195653,0.0672848820958111,0.0553671011193258,3
Taiwan,0.0,1.1540443700847066e-06,0.0001227270236143,0.0011066406491757,0.0069036874476475,0.0038401056680324,0.0069298274562776,0.0068852551144846,0.0128102374170721,0.0305789357746724,0.0499854471982729,0.0633855481243131,0.0960461965564477,0.1155362303142333,0.1201038053081794,0.1302789045388459,0.0781374596037794,0.0714648146406069,0.0525439995833334,0.0444791863962752,0.0350717325569048,0.0198790488566203,0.0130590619782317,0.0167785169079236,0.0086787618833235,0.0067958099197719,0.0034067216390042,0.0025767215771547,0.0026134618214302,2
Ukraine,0.0153465277016212,0.0227929075280596,0.0293033735736042,0.0483955847257084,0.0428132140374671,0.0751578337397353,0.0787263526735852,0.0771211781888463,0.1301119205943427,0.1625304574645833,0.0932486938326761,0.0718709955718762,0.0352029350566281,0.0282262305651544,0.0209130880037575,0.0204055205007619,0.0159455315305761,0.008681260887923,0.0071875972460096,0.0057987575530896,0.0047468990603582,0.0029876431624894,0.0008866792958931,0.0005575047298978,0.0003498056468502,0.0002546326454422,0.0001868952343357,0.0001563573813083,9.362186741795474e-05,1
United Kingdom,0.00037572435334,1.2081235394279154e-05,0.0002112973349617,0.0083978543538508,0.0167209446414267,0.0552995531824222,0.0142930608502728,0.0279927051745542,0.0132859979934117,0.1026974500675151,0.1680871034727178,0.0672703371123823,0.0711324431991636,0.0617791966040823,0.0557963715444549,0.0372256841332486,0.0260285085906849,0.0279955712548621,0.027488206152965,0.0249412260698434,0.0296551599901532,0.0235982108666571,0.0266076129760941,0.0207700613617245,0.0194160494351991,0.0157799210437714,0.0207370314781709,0.0175855633596238,0.01881907216705,2
United States,0.0111364769545563,0.0052459621197169,0.012544118748779,0.0145129529017527,0.0099523184140975,0.0136313127378231,0.007126137702289,0.0112748623669434,0.0068701060877506,0.0181185853787181,0.0113807947097844,0.0130649184762622,0.008760495622201,0.0118940018520128,0.010649936128456,0.0398568440693437,0.0661677775340143,0.0947438878832867,0.0886754809221154,0.1970285728485469,0.2193542654163776,0.0829421932849689,0.0147388565847765,0.0020832321854634,0.0060244106681239,0.0038636651887647,0.0045436470958416,0.0070879786040615,0.0067262075131704,0
Vietnam,6.602871416926051e-05,0.0009249407999619,0.0005071706567581,0.0012511656613592,0.0002402736902917,0.0027612469121788,0.0477327380158113,0.1382172928429981,0.055216406785632,0.0484651936465451,0.0723706739139562,0.0818430339255867,0.0948967196298578,0.1562362004359003,0.0762256165688301,0.06483540153562,0.0402019890197705,0.0203850943305157,0.0161366769412875,0.0223706501193265,0.0192931538117565,0.0154671439585252,0.009384091370122,0.0055008833570991,0.0020867584840791,0.0045116415366409,0.0018156818584401,0.0007439901772781,0.0003121412997011,2
