Import_country,Nominal Value (SUM)
United States,120595761242.0
Italy,85028215439.92317
Germany,82866679359.00713
Turkey,62333646862.544495
Mexico,55197296936.53189
Taiwan,52669875859.60428
Thailand,51673205992.13586
France,51544634493.05953
South Korea,45189048533.220924
Indonesia,38517934065.54635
United States,120595761242.0
Italy,85028215439.92317
Germany,82866679359.00713
China (mainland),77759127639.26492
Turkey,62333646862.544495
Mexico,55197296936.53189
Taiwan,52669875859.60428
Thailand,51673205992.13586
France,51544634493.05953
South Korea,45189048533.220924
United States,120595761242.0
Italy,85028215439.92317
Germany,82866679359.00713
China (mainland),77759127639.26492
Turkey,62333646862.544495
Mexico,55197296936.53189
Taiwan,52669875859.60428
Thailand,51673205992.13586
France,51544634493.05953
South Korea,45189048533.220924
United States,120595761242.0
Italy,85028215439.92317
Germany,82866679359.00713
China (mainland),77759127639.26492
Turkey,62333646862.544495
Mexico,55197296936.53189
Taiwan,52669875859.60428
Thailand,51673205992.13586
France,51544634493.05953
Indonesia,38517934065.54635
United States,120595761242.0
Italy,85028215439.92317
China (mainland),77759127639.26492
Turkey,62333646862.544495
Mexico,55197296936.53189
Taiwan,52669875859.60428
Thailand,51673205992.13586
France,51544634493.05953
South Korea,45189048533.220924
Indonesia,38517934065.54635
United States,120595761242.0
Italy,85028215439.92317
Germany,82866679359.00713
China (mainland),77759127639.26492
Turkey,62333646862.544495
Mexico,55197296936.53189
Taiwan,52669875859.60428
Thailand,51673205992.13586
France,51544634493.05953
South Korea,45189048533.220924
United States,120595761242.0
Italy,85028215439.92317
Germany,82866679359.00713
China (mainland),77759127639.26492
Turkey,62333646862.544495
Mexico,55197296936.53189
Taiwan,52669875859.60428
Thailand,51673205992.13586
France,51544634493.05953
South Korea,45189048533.220924
United States,120595761242.0
Italy,85028215439.92317
Germany,82866679359.00713
China (mainland),77759127639.26492
Turkey,62333646862.544495
Mexico,55197296936.53189
Taiwan,52669875859.60428
Thailand,51673205992.13586
France,51544634493.05953
South Korea,45189048533.220924
United States,120595761242.0
Italy,85028215439.92317
Germany,82866679359.00713
China (mainland),77759127639.26492
Turkey,62333646862.544495
Mexico,55197296936.53189
Taiwan,52669875859.60428
Thailand,51673205992.13586
France,51544634493.05953
South Korea,45189048533.220924
United States,120595761242.0
Italy,85028215439.92317
Germany,82866679359.00713
China (mainland),77759127639.26492
Turkey,62333646862.544495
Mexico,55197296936.53189
Taiwan,52669875859.60428
Thailand,51673205992.13586
South Korea,45189048533.220924
Indonesia,38517934065.54635
Italy,85028215439.92317
Germany,82866679359.00713
China (mainland),77759127639.26492
Turkey,62333646862.544495
Mexico,55197296936.53189
Taiwan,52669875859.60428
Thailand,51673205992.13586
France,51544634493.05953
South Korea,45189048533.220924
Indonesia,38517934065.54635
United States,120595761242.0
Italy,85028215439.92317
Germany,82866679359.00713
China (mainland),77759127639.26492
Turkey,62333646862.544495
Mexico,55197296936.53189
Taiwan,52669875859.60428
Thailand,51673205992.13586
France,51544634493.05953
South Korea,45189048533.220924
United States,120595761242.0
Italy,85028215439.92317
Germany,82866679359.00713
China (mainland),77759127639.26492
Turkey,62333646862.544495
Mexico,55197296936.53189
Taiwan,52669875859.60428
Thailand,51673205992.13586
France,51544634493.05953
South Korea,45189048533.220924
United States,120595761242.0
Italy,85028215439.92317
Germany,82866679359.00713
China (mainland),77759127639.26492
Turkey,62333646862.544495
Mexico,55197296936.53189
Thailand,51673205992.13586
France,51544634493.05953
South Korea,45189048533.220924
Indonesia,38517934065.54635
United States,120595761242.0
Germany,82866679359.00713
China (mainland),77759127639.26492
Turkey,62333646862.544495
Mexico,55197296936.53189
Taiwan,52669875859.60428
Thailand,51673205992.13586
France,51544634493.05953
South Korea,45189048533.220924
Indonesia,38517934065.54635
United States,120595761242.0
Italy,85028215439.92317
Germany,82866679359.00713
China (mainland),77759127639.26492
Turkey,62333646862.544495
Mexico,55197296936.53189
Taiwan,52669875859.60428
Thailand,51673205992.13586
France,51544634493.05953
South Korea,45189048533.220924
United States,120595761242.0
Italy,85028215439.92317
Germany,82866679359.00713
China (mainland),77759127639.26492
Turkey,62333646862.544495
Mexico,55197296936.53189
Taiwan,52669875859.60428
Thailand,51673205992.13586
France,51544634493.05953
South Korea,45189048533.220924
United States,120595761242.0
Italy,85028215439.92317
Germany,82866679359.00713
China (mainland),77759127639.26492
Turkey,62333646862.544495
Mexico,55197296936.53189
Taiwan,52669875859.60428
Thailand,51673205992.13586
France,51544634493.05953
South Korea,45189048533.220924
United States,120595761242.0
Italy,85028215439.92317
Germany,82866679359.00713
China (mainland),77759127639.26492
Turkey,62333646862.544495
Mexico,55197296936.53189
Taiwan,52669875859.60428
Thailand,51673205992.13586
France,51544634493.05953
South Korea,45189048533.220924
United States,120595761242.0
Italy,85028215439.92317
Germany,82866679359.00713
China (mainland),77759127639.26492
Turkey,62333646862.544495
Mexico,55197296936.53189
Taiwan,52669875859.60428
Thailand,51673205992.13586
France,51544634493.05953
South Korea,45189048533.220924
United States,120595761242.0
Italy,85028215439.92317
Germany,82866679359.00713
China (mainland),77759127639.26492
Turkey,62333646862.544495
Mexico,55197296936.53189
Taiwan,52669875859.60428
Thailand,51673205992.13586
France,51544634493.05953
South Korea,45189048533.220924
United States,120595761242.0
Italy,85028215439.92317
Germany,82866679359.00713
China (mainland),77759127639.26492
Turkey,62333646862.544495
Mexico,55197296936.53189
Taiwan,52669875859.60428
Thailand,51673205992.13586
France,51544634493.05953
South Korea,45189048533.220924
United States,120595761242.0
Italy,85028215439.92317
Germany,82866679359.00713
China (mainland),77759127639.26492
Turkey,62333646862.544495
Mexico,55197296936.53189
Taiwan,52669875859.60428
Thailand,51673205992.13586
France,51544634493.05953
South Korea,45189048533.220924
United States,120595761242.0
Italy,85028215439.92317
Germany,82866679359.00713
China (mainland),77759127639.26492
Turkey,62333646862.544495
Mexico,55197296936.53189
Taiwan,52669875859.60428
Thailand,51673205992.13586
France,51544634493.05953
South Korea,45189048533.220924
United States,120595761242.0
Italy,85028215439.92317
Germany,82866679359.00713
China (mainland),77759127639.26492
Turkey,62333646862.544495
Taiwan,52669875859.60428
Thailand,51673205992.13586
France,51544634493.05953
South Korea,45189048533.220924
Indonesia,38517934065.54635
United States,120595761242.0
Italy,85028215439.92317
Germany,82866679359.00713
China (mainland),77759127639.26492
Turkey,62333646862.544495
Mexico,55197296936.53189
Taiwan,52669875859.60428
Thailand,51673205992.13586
France,51544634493.05953
South Korea,45189048533.220924
